Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM000663.2	=	NC_000001.11	Primary Assembly	chr1
2	assembled-molecule	2	Chromosome	CM000664.2	=	NC_000002.12	Primary Assembly	chr2
3	assembled-molecule	3	Chromosome	CM000665.2	=	NC_000003.12	Primary Assembly	chr3
4	assembled-molecule	4	Chromosome	CM000666.2	=	NC_000004.12	Primary Assembly	chr4
5	assembled-molecule	5	Chromosome	CM000667.2	=	NC_000005.10	Primary Assembly	chr5
6	assembled-molecule	6	Chromosome	CM000668.2	=	NC_000006.12	Primary Assembly	chr6
7	assembled-molecule	7	Chromosome	CM000669.2	=	NC_000007.14	Primary Assembly	chr7
8	assembled-molecule	8	Chromosome	CM000670.2	=	NC_000008.11	Primary Assembly	chr8
9	assembled-molecule	9	Chromosome	CM000671.2	=	NC_000009.12	Primary Assembly	chr9
10	assembled-molecule	10	Chromosome	CM000672.2	=	NC_000010.11	Primary Assembly	chr10
11	assembled-molecule	11	Chromosome	CM000673.2	=	NC_000011.10	Primary Assembly	chr11
12	assembled-molecule	12	Chromosome	CM000674.2	=	NC_000012.12	Primary Assembly	chr12
13	assembled-molecule	13	Chromosome	CM000675.2	=	NC_000013.11	Primary Assembly	chr13
14	assembled-molecule	14	Chromosome	CM000676.2	=	NC_000014.9	Primary Assembly	chr14
15	assembled-molecule	15	Chromosome	CM000677.2	=	NC_000015.10	Primary Assembly	chr15
16	assembled-molecule	16	Chromosome	CM000678.2	=	NC_000016.10	Primary Assembly	chr16
17	assembled-molecule	17	Chromosome	CM000679.2	=	NC_000017.11	Primary Assembly	chr17
18	assembled-molecule	18	Chromosome	CM000680.2	=	NC_000018.10	Primary Assembly	chr18
19	assembled-molecule	19	Chromosome	CM000681.2	=	NC_000019.10	Primary Assembly	chr19
20	assembled-molecule	20	Chromosome	CM000682.2	=	NC_000020.11	Primary Assembly	chr20
21	assembled-molecule	21	Chromosome	CM000683.2	=	NC_000021.9	Primary Assembly	chr21
22	assembled-molecule	22	Chromosome	CM000684.2	=	NC_000022.11	Primary Assembly	chr22
X	assembled-molecule	X	Chromosome	CM000685.2	=	NC_000023.11	Primary Assembly	chrX
Y	assembled-molecule	Y	Chromosome	CM000686.2	=	NC_000024.10	Primary Assembly	chrY
HSCHR1_CTG1_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270706.1	=	NT_187361.1	Primary Assembly	chr1_KI270706v1_random
HSCHR1_CTG2_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270707.1	=	NT_187362.1	Primary Assembly	chr1_KI270707v1_random
HSCHR1_CTG3_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270708.1	=	NT_187363.1	Primary Assembly	chr1_KI270708v1_random
HSCHR1_CTG4_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270709.1	=	NT_187364.1	Primary Assembly	chr1_KI270709v1_random
HSCHR1_CTG5_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270710.1	=	NT_187365.1	Primary Assembly	chr1_KI270710v1_random
HSCHR1_CTG6_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270711.1	=	NT_187366.1	Primary Assembly	chr1_KI270711v1_random
HSCHR1_CTG7_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270712.1	=	NT_187367.1	Primary Assembly	chr1_KI270712v1_random
HSCHR1_CTG8_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270713.1	=	NT_187368.1	Primary Assembly	chr1_KI270713v1_random
HSCHR1_CTG9_UNLOCALIZED	unlocalized-scaffold	1	Chromosome	KI270714.1	=	NT_187369.1	Primary Assembly	chr1_KI270714v1_random
HSCHR2_RANDOM_CTG1	unlocalized-scaffold	2	Chromosome	KI270715.1	=	NT_187370.1	Primary Assembly	chr2_KI270715v1_random
HSCHR2_RANDOM_CTG2	unlocalized-scaffold	2	Chromosome	KI270716.1	=	NT_187371.1	Primary Assembly	chr2_KI270716v1_random
HSCHR3UN_CTG2	unlocalized-scaffold	3	Chromosome	GL000221.1	=	NT_167215.1	Primary Assembly	chr3_GL000221v1_random
HSCHR4_RANDOM_CTG4	unlocalized-scaffold	4	Chromosome	GL000008.2	=	NT_113793.3	Primary Assembly	chr4_GL000008v2_random
HSCHR5_RANDOM_CTG1	unlocalized-scaffold	5	Chromosome	GL000208.1	=	NT_113948.1	Primary Assembly	chr5_GL000208v1_random
HSCHR9_UNLOCALIZED_CTG1	unlocalized-scaffold	9	Chromosome	KI270717.1	=	NT_187372.1	Primary Assembly	chr9_KI270717v1_random
HSCHR9_UNLOCALIZED_CTG2	unlocalized-scaffold	9	Chromosome	KI270718.1	=	NT_187373.1	Primary Assembly	chr9_KI270718v1_random
HSCHR9_UNLOCALIZED_CTG3	unlocalized-scaffold	9	Chromosome	KI270719.1	=	NT_187374.1	Primary Assembly	chr9_KI270719v1_random
HSCHR9_UNLOCALIZED_CTG4	unlocalized-scaffold	9	Chromosome	KI270720.1	=	NT_187375.1	Primary Assembly	chr9_KI270720v1_random
HSCHR11_CTG1_UNLOCALIZED	unlocalized-scaffold	11	Chromosome	KI270721.1	=	NT_187376.1	Primary Assembly	chr11_KI270721v1_random
HSCHR14_CTG1_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	GL000009.2	=	NT_113796.3	Primary Assembly	chr14_GL000009v2_random
HSCHR14_CTG4_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	GL000194.1	=	NT_113888.1	Primary Assembly	chr14_GL000194v1_random
HSCHR14_CTG2_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	GL000225.1	=	NT_167219.1	Primary Assembly	chr14_GL000225v1_random
HSCHR14_CTG3_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	KI270722.1	=	NT_187377.1	Primary Assembly	chr14_KI270722v1_random
HSCHR14_CTG5_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	KI270723.1	=	NT_187378.1	Primary Assembly	chr14_KI270723v1_random
HSCHR14_CTG6_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	KI270724.1	=	NT_187379.1	Primary Assembly	chr14_KI270724v1_random
HSCHR14_CTG7_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	KI270725.1	=	NT_187380.1	Primary Assembly	chr14_KI270725v1_random
HSCHR14_CTG8_UNLOCALIZED	unlocalized-scaffold	14	Chromosome	KI270726.1	=	NT_187381.1	Primary Assembly	chr14_KI270726v1_random
HSCHR15_RANDOM_CTG1	unlocalized-scaffold	15	Chromosome	KI270727.1	=	NT_187382.1	Primary Assembly	chr15_KI270727v1_random
HSCHR16_RANDOM_CTG1	unlocalized-scaffold	16	Chromosome	KI270728.1	=	NT_187383.1	Primary Assembly	chr16_KI270728v1_random
HSCHR17_RANDOM_CTG3	unlocalized-scaffold	17	Chromosome	GL000205.2	=	NT_113930.2	Primary Assembly	chr17_GL000205v2_random
HSCHR17_RANDOM_CTG4	unlocalized-scaffold	17	Chromosome	KI270729.1	=	NT_187384.1	Primary Assembly	chr17_KI270729v1_random
HSCHR17_RANDOM_CTG5	unlocalized-scaffold	17	Chromosome	KI270730.1	=	NT_187385.1	Primary Assembly	chr17_KI270730v1_random
HSCHR22_UNLOCALIZED_CTG1	unlocalized-scaffold	22	Chromosome	KI270731.1	=	NT_187386.1	Primary Assembly	chr22_KI270731v1_random
HSCHR22_UNLOCALIZED_CTG2	unlocalized-scaffold	22	Chromosome	KI270732.1	=	NT_187387.1	Primary Assembly	chr22_KI270732v1_random
HSCHR22_UNLOCALIZED_CTG3	unlocalized-scaffold	22	Chromosome	KI270733.1	=	NT_187388.1	Primary Assembly	chr22_KI270733v1_random
HSCHR22_UNLOCALIZED_CTG4	unlocalized-scaffold	22	Chromosome	KI270734.1	=	NT_187389.1	Primary Assembly	chr22_KI270734v1_random
HSCHR22_UNLOCALIZED_CTG5	unlocalized-scaffold	22	Chromosome	KI270735.1	=	NT_187390.1	Primary Assembly	chr22_KI270735v1_random
HSCHR22_UNLOCALIZED_CTG6	unlocalized-scaffold	22	Chromosome	KI270736.1	=	NT_187391.1	Primary Assembly	chr22_KI270736v1_random
HSCHR22_UNLOCALIZED_CTG7	unlocalized-scaffold	22	Chromosome	KI270737.1	=	NT_187392.1	Primary Assembly	chr22_KI270737v1_random
HSCHR22_UNLOCALIZED_CTG8	unlocalized-scaffold	22	Chromosome	KI270738.1	=	NT_187393.1	Primary Assembly	chr22_KI270738v1_random
HSCHR22_UNLOCALIZED_CTG9	unlocalized-scaffold	22	Chromosome	KI270739.1	=	NT_187394.1	Primary Assembly	chr22_KI270739v1_random
HSCHRY_RANDOM_CTG1	unlocalized-scaffold	Y	Chromosome	KI270740.1	=	NT_187395.1	Primary Assembly	chrY_KI270740v1_random
HSCHRUN_RANDOM_CTG1	unplaced-scaffold	na	na	GL000195.1	=	NT_113901.1	Primary Assembly	chrUn_GL000195v1
HSCHRUN_RANDOM_CTG2	unplaced-scaffold	na	na	GL000213.1	=	NT_167208.1	Primary Assembly	chrUn_GL000213v1
HSCHRUN_RANDOM_CTG4	unplaced-scaffold	na	na	GL000214.1	=	NT_167209.1	Primary Assembly	chrUn_GL000214v1
HSCHRUN_RANDOM_CTG6	unplaced-scaffold	na	na	GL000216.2	=	NT_167211.2	Primary Assembly	chrUn_GL000216v2
HSCHRUN_RANDOM_CTG9	unplaced-scaffold	na	na	GL000218.1	=	NT_113889.1	Primary Assembly	chrUn_GL000218v1
HSCHRUN_RANDOM_CTG10	unplaced-scaffold	na	na	GL000219.1	=	NT_167213.1	Primary Assembly	chrUn_GL000219v1
HSCHRUN_RANDOM_CTG11	unplaced-scaffold	na	na	GL000220.1	=	NT_167214.1	Primary Assembly	chrUn_GL000220v1
HSCHRUN_RANDOM_CTG16	unplaced-scaffold	na	na	GL000224.1	=	NT_167218.1	Primary Assembly	chrUn_GL000224v1
HSCHRUN_RANDOM_CTG19	unplaced-scaffold	na	na	GL000226.1	=	NT_167220.1	Primary Assembly	chrUn_GL000226v1
HSCHRUN_RANDOM_100	unplaced-scaffold	na	na	KI270302.1	=	NT_187396.1	Primary Assembly	chrUn_KI270302v1
HSCHRUN_RANDOM_102	unplaced-scaffold	na	na	KI270303.1	=	NT_187398.1	Primary Assembly	chrUn_KI270303v1
HSCHRUN_RANDOM_101	unplaced-scaffold	na	na	KI270304.1	=	NT_187397.1	Primary Assembly	chrUn_KI270304v1
HSCHRUN_RANDOM_103	unplaced-scaffold	na	na	KI270305.1	=	NT_187399.1	Primary Assembly	chrUn_KI270305v1
HSCHRUN_RANDOM_106	unplaced-scaffold	na	na	KI270310.1	=	NT_187402.1	Primary Assembly	chrUn_KI270310v1
HSCHRUN_RANDOM_110	unplaced-scaffold	na	na	KI270311.1	=	NT_187406.1	Primary Assembly	chrUn_KI270311v1
HSCHRUN_RANDOM_109	unplaced-scaffold	na	na	KI270312.1	=	NT_187405.1	Primary Assembly	chrUn_KI270312v1
HSCHRUN_RANDOM_108	unplaced-scaffold	na	na	KI270315.1	=	NT_187404.1	Primary Assembly	chrUn_KI270315v1
HSCHRUN_RANDOM_107	unplaced-scaffold	na	na	KI270316.1	=	NT_187403.1	Primary Assembly	chrUn_KI270316v1
HSCHRUN_RANDOM_111	unplaced-scaffold	na	na	KI270317.1	=	NT_187407.1	Primary Assembly	chrUn_KI270317v1
HSCHRUN_RANDOM_105	unplaced-scaffold	na	na	KI270320.1	=	NT_187401.1	Primary Assembly	chrUn_KI270320v1
HSCHRUN_RANDOM_104	unplaced-scaffold	na	na	KI270322.1	=	NT_187400.1	Primary Assembly	chrUn_KI270322v1
HSCHRUN_RANDOM_167	unplaced-scaffold	na	na	KI270329.1	=	NT_187459.1	Primary Assembly	chrUn_KI270329v1
HSCHRUN_RANDOM_166	unplaced-scaffold	na	na	KI270330.1	=	NT_187458.1	Primary Assembly	chrUn_KI270330v1
HSCHRUN_RANDOM_169	unplaced-scaffold	na	na	KI270333.1	=	NT_187461.1	Primary Assembly	chrUn_KI270333v1
HSCHRUN_RANDOM_168	unplaced-scaffold	na	na	KI270334.1	=	NT_187460.1	Primary Assembly	chrUn_KI270334v1
HSCHRUN_RANDOM_170	unplaced-scaffold	na	na	KI270335.1	=	NT_187462.1	Primary Assembly	chrUn_KI270335v1
HSCHRUN_RANDOM_173	unplaced-scaffold	na	na	KI270336.1	=	NT_187465.1	Primary Assembly	chrUn_KI270336v1
HSCHRUN_RANDOM_174	unplaced-scaffold	na	na	KI270337.1	=	NT_187466.1	Primary Assembly	chrUn_KI270337v1
HSCHRUN_RANDOM_171	unplaced-scaffold	na	na	KI270338.1	=	NT_187463.1	Primary Assembly	chrUn_KI270338v1
HSCHRUN_RANDOM_172	unplaced-scaffold	na	na	KI270340.1	=	NT_187464.1	Primary Assembly	chrUn_KI270340v1
HSCHRUN_RANDOM_177	unplaced-scaffold	na	na	KI270362.1	=	NT_187469.1	Primary Assembly	chrUn_KI270362v1
HSCHRUN_RANDOM_175	unplaced-scaffold	na	na	KI270363.1	=	NT_187467.1	Primary Assembly	chrUn_KI270363v1
HSCHRUN_RANDOM_176	unplaced-scaffold	na	na	KI270364.1	=	NT_187468.1	Primary Assembly	chrUn_KI270364v1
HSCHRUN_RANDOM_178	unplaced-scaffold	na	na	KI270366.1	=	NT_187470.1	Primary Assembly	chrUn_KI270366v1
HSCHRUN_RANDOM_202	unplaced-scaffold	na	na	KI270371.1	=	NT_187494.1	Primary Assembly	chrUn_KI270371v1
